Workflow,Version,Bioinformatics Software,Parameterization
Bcl2fastq,3.1.3,bcl2fastq (2.20.0.422),https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bcl2fastq.shesmu
Bcl2barcode,1.0.2,"| bcl2fastq (2.20.0.422)
| htslib 1.9",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bcl2barcode.shesmu
FastQC,3.2.0,fastqc (0.11.9),https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-fastqc.shesmu
Bwa Mem,1.0.0,"| bwa (0.7.12)
| samtools (1.9)
| cutadapt (1.8.3)
| slicer (0.3.0)",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bwaMem.shesmu
BamQC,5.0.2,"| samtools 1.9
| picard 2.21.2 
| python 3.6
| bam-qc-metrics 0.2.5
| mosdepth 0.2.9",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-metrics-WGS.shesmu 
DNAseqQC,1.1.0,"| bwa 0.7.12
| samtools 1.9
| cutadapt 1.8.3
| slicer 0.3.0
| picard 2.21.2
| python 3.6
| bam-qc-metrics 0.2.5
| mosdepth 0.2.9",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-dnaseqqc.shesmu 
Callability,1.1.4,"| mosdepth (0.2.9)
| bedtools (2.27)
| python (3.7)",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-metrics-WGS-callability-bysample.shesmu
wgsMetrics,1.0.3,picard (2.21.2),https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-metrics-WGS.shesmu 
BamMergePreProcessing,2.1.0,"| samtools (1.9)
| gatk (4.1.6.0)
| gatk (3.6-0)
| python (3.7)",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bmpp-bysample.shesmu
crosscheckFingerprintsCollector,1.1.0,"| gatk 4.2.0.0
| tabix 0.2.6
| seqtk 1.3",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-crosscheckFingerprintsCollector_bam.shesmu
crosscheckFingerprints,2.3,gatk 4.2.0.0,https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/report-crosscheckfingerprints.shesmu
Delly,2.3.1,"| picard 2.19.2
| java 8
| delly 0.8.1
| bcftools 1.9
| tabix 0.2.6
| vcftools 0.1.16",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-delly-bysample.shesmu 
VariantEffectPredictor,2.3.0,"| bedtools 2.27
| tabix 0.2.6
| vep 105.0
| vcf2maf 1.6.21
| vcftools 0.1.16",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-variantEffectPredictor_matched-bysample.shesmu
MuTect2,1.0.4,"| gatk (4.1.1.0)
| samtools (1.9)",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-mutect2_matched-bysample.shesmu
MAVIS,3.1.0,mavis (2.2.6),https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-mavis-bysample.shesmu
msisensor,1.2.0,"| msisensor-pro (1.2)
| msisensor-microsatlist (hg38p12)",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-msisensor-bysample.shesmu
HRDetect,2.4.1,"| sigtools (2.4.1)
| bcftools (1.9)
| tabix (1.9)
| hg38-dac-exclusion (1.0)",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-hrDetect.shesmu
GRIDSS,1.3.1,"| gridss (2.13.2m)
| hmftools-data(v53128)
| (hg38p12)
| gatk (4.1.6.0)",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-gridss-bysample.shesmu
Purple,1.1.3,"| hmftools (1.1)
| hmftools-data(v53128)",https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-purple.shesmu
T1K,1.2.0,t1k (1.2.0),https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-t1k.shesmu
