"Workflow","Version","Parameterization","Reference Data","Bioinformatics Software"
"`bamMergePreprocessing <https://github.com/oicr-gsi/bamMergePreprocessing>`__","2.1.1","`vidarr-u20-bmpp-bysample.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bmpp-bysample.shesmu>`__ `vidarr-u20-bmpp.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bmpp.shesmu>`__","","python/3.7 python/2.7 gatk/4.1.6.0 gatk/3.6-0 samtools/1.9"
"`bamqc <https://github.com/oicr-gsi/bamQC>`__","5.1.3","`vidarr-u20-bamqc-call-ready.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bamqc-call-ready.shesmu>`__ `vidarr-u20-bamqc-lane-level.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bamqc-lane-level.shesmu>`__","","bam-qc-metrics/0.2.5 python/3.6 mosdepth/0.2.9 gatk/4.1.6.0 picard/2.21.2 samtools/1.14 samtools/1.9"
"`bcl2barcode <https://github.com/oicr-gsi/bcl2barcode>`__","1.0.2","`vidarr-u20-bcl2barcode.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bcl2barcode.shesmu>`__","","bcl2fastq/2.20.0.422 htslib/1.9"
"`bcl2fastq <https://github.com/oicr-gsi/bcl2fastq>`__","3.1.3","`vidarr-u20-bcl2fastq.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bcl2fastq.shesmu>`__","","barcodex-rs/0.1.2 bcl2fastq-jail/3.1.2b bcl2fastq/2.20.0.422"
"`bwamem2 <https://github.com/oicr-gsi/bwamem2>`__","1.0.1","`vidarr-u20-bwamem2.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bwamem2.shesmu>`__","hg19-bwamem2-index/2.2.1 hg38-bwamem2-index-with-alt/2.2.1","barcodex-rs/0.1.2 python/3.7 slicer/0.3.0 rust/1.45.1 cutadapt/1.8.3 bwa-mem2/2.2.1 samtools/1.9"
"`callability <https://github.com/oicr-gsi/callability>`__","1.3.0","`vidarr-u20-metrics-WGS-callability-bysample.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-metrics-WGS-callability-bysample.shesmu>`__","","python/3.7 mosdepth/0.2.9 bedtools/2.27"
"`crosscheckFingerprintsCollector <https://github.com/oicr-gsi/crosscheckFingerprintsCollector>`__","1.1.0","`vidarr-u20-crosscheckFingerprintsCollector_fastq_exceptions.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-crosscheckFingerprintsCollector_fastq_exceptions.shesmu>`__ `vidarr-u20-crosscheckFingerprintsCollector_bam.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-crosscheckFingerprintsCollector_bam.shesmu>`__ `vidarr-u20-crosscheckFingerprintsCollector_fastq.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-crosscheckFingerprintsCollector_fastq.shesmu>`__","hg38-star-index100/2.7.3a hg19-bwa-index/0.7.17 hg19-star-index100/2.7.3a hg38-bwa-index-with-alt/0.7.17","samtools/1.15 crosscheckfingerprints-haplotype-map/20230324 tabix/0.2.6 seqtk/1.3 star/2.7.3a bwa/0.7.17 gatk/4.1.6.0 samtools/1.14 gatk/4.2.0.0 samtools/1.9"
"`delly <https://github.com/oicr-gsi/delly>`__","2.6.1","`vidarr-u20-delly_matched-bysample.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-delly_matched-bysample.shesmu>`__","hg38-delly/1.0 hg19-delly/1.0","vcftools/0.1.16 tabix/0.2.6 java/8 bcftools/1.9 picard/2.19.2 delly/0.9.1"
"`dnaSeqQC <https://github.com/oicr-gsi/dnaSeqQC>`__","1.1.0","`vidarr-u20-dnaseqqc.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-dnaseqqc.shesmu>`__","hg19-bwa-index/0.7.12 hg38-bwa-index/0.7.12 mm10-bwa-index/0.7.12","bwa/0.7.12 mosdepth/0.2.9 bam-qc-metrics/0.2.5 slicer/0.3.0 python/3.6 cutadapt/1.8.3 picard/2.21.2 samtools/1.9"
"`fastqc <https://github.com/oicr-gsi/fastqc>`__","3.2.0","`vidarr-u20-fastqc.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-fastqc.shesmu>`__","","java/11 fastqc/0.11.9 perl/5.28"
