"Workflow","Version","Parameterization","Reference Data","Bioinformatics Software"
"`arriba <https://github.com/oicr-gsi/arriba>`__","2.4.0","`vidarr-u20-arriba.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-arriba.shesmu>`__","","gencode/31 rarriba/0.1 arriba/2.4.0 samtools/1.16.1"
"`bcl2barcode <https://github.com/oicr-gsi/bcl2barcode>`__","1.0.2","`vidarr-u20-bcl2barcode.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bcl2barcode.shesmu>`__","","bcl2fastq/2.20.0.422 htslib/1.9"
"`bcl2fastq <https://github.com/oicr-gsi/bcl2fastq>`__","3.1.3","`vidarr-u20-bcl2fastq.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-bcl2fastq.shesmu>`__","","barcodex-rs/0.1.2 bcl2fastq-jail/3.1.2b bcl2fastq/2.20.0.422"
"`crosscheckFingerprintsCollector <https://github.com/oicr-gsi/crosscheckFingerprintsCollector>`__","1.1.0","`vidarr-u20-crosscheckFingerprintsCollector_fastq_exceptions.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-crosscheckFingerprintsCollector_fastq_exceptions.shesmu>`__ `vidarr-u20-crosscheckFingerprintsCollector_bam.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-crosscheckFingerprintsCollector_bam.shesmu>`__ `vidarr-u20-crosscheckFingerprintsCollector_fastq.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-crosscheckFingerprintsCollector_fastq.shesmu>`__","hg38-star-index100/2.7.3a hg19-bwa-index/0.7.17 hg19-star-index100/2.7.3a hg38-bwa-index-with-alt/0.7.17","samtools/1.15 crosscheckfingerprints-haplotype-map/20230324 tabix/0.2.6 seqtk/1.3 star/2.7.3a bwa/0.7.17 gatk/4.1.6.0 samtools/1.14 gatk/4.2.0.0 samtools/1.9"
"`fastqc <https://github.com/oicr-gsi/fastqc>`__","3.2.0","`vidarr-u20-fastqc.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-fastqc.shesmu>`__","","java/11 fastqc/0.11.9 perl/5.28"
"`mavis <https://github.com/oicr-gsi/mavis>`__","3.3.3","`vidarr-u20-mavis_clinical.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-mavis_clinical.shesmu>`__ `vidarr-u20-mavis_non_clinical.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-mavis_non_clinical.shesmu>`__","hg38v110-mavis/2.2.6","bcftools/1.9 mavis-config/1.2 mavis/2.2.6"
"`rnaseqqc <https://github.com/oicr-gsi/rnaSeqQC>`__","1.3.0","`vidarr-u20-rnaseqqc-lane_level.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-rnaseqqc-lane_level.shesmu>`__ `vidarr-u20-rnaseqqc-call_ready.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-rnaseqqc-call_ready.shesmu>`__","hg38-star-index100/2.7.3a hg19-star-index100/2.6.0c","production-tools-python/2 bwa/0.7.17 star/2.7.3a picard/2.19.2 star/2.6.0c bam-qc-metrics/0.2.5 rnaseqqc-ribosome-grch38-bwa-index/1.0.0 jq/1.6 picard/2.21.2 samtools/1.9"
"`rsem <https://github.com/oicr-gsi/rsem>`__","1.0.1","`vidarr-u20-rsem.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-rsem.shesmu>`__","hg38-rsem-index/1.3.0 hg19-rsem-index/1.3.3","rsem/1.3.3"
"`star <https://github.com/oicr-gsi/star>`__","2.3.0","`vidarr-u20-star_lane_level.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-star_lane_level.shesmu>`__ `vidarr-u20-star_call_ready.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-star_call_ready.shesmu>`__","hg38-star-index100/2.7.10b hg19-star-index100/2.7.10b","picard/2.19.2"
"`starfusion <https://github.com/oicr-gsi/starFusion>`__","2.0.2","`vidarr-u20-starfusion.shesmu <https://bitbucket.oicr.on.ca/projects/GSI/repos/analysis-config/browse/shesmu/production-cap/vidarr-u20-starfusion.shesmu>`__","star-fusion-genome/1.8.1-hg38","star-fusion/1.8.1"
